Source,Target,Weight,Season
JON,SANSA,151,6
MISSANDEI,TYRION,88,6
TYRION,VARYS,86,6
ARYA,JAQEN,83,6
DAVOS,MELISANDRE,82,6
GREY_WORM,TYRION,81,6
DAVOS,JON,80,6
GILLY,SAM,80,6
BRAN,THREE_EYED_RAVEN,76,6
HIGH_SPARROW,MARGAERY,76,6
THEON,YARA,72,6
DAENERYS,TYRION,69,6
CERSEI,JAIME,66,6
ARYA,LADY_CRANE,64,6
DAARIO,JORAH,60,6
LITTLEFINGER,SANSA,57,6
DAARIO,DAENERYS,54,6
JON,MELISANDRE,54,6
JON,TORMUND,54,6
BRAN,MEERA,51,6
BRIENNE,JAIME,50,6
DAVOS,TORMUND,50,6
HIGH_SPARROW,TOMMEN,49,6
ARYA,WAIF,48,6
CERSEI,TOMMEN,48,6
EDDISON_TOLLETT,JON,48,6
BRIENNE,SANSA,46,6
GREY_WORM,MISSANDEI,44,6
HOUND,RAY,41,6
MARGAERY,OLENNA,40,6
HODOR,MEERA,39,6
BRAN,HODOR,38,6
DAVOS,SANSA,38,6
RAMSAY,SANSA,37,6
BRONN,JAIME,36,6
JAIME,TOMMEN,36,6
MARGAERY,TOMMEN,36,6
BRYNDEN,JAIME,35,6
DAENERYS,KHAL_MORO,34,6
RAMSAY,SMALLJON,34,6
HIGH_SPARROW,JAIME,33,6
LORAS,MARGAERY,33,6
BRIENNE,BRYNDEN,32,6
EDMURE,JAIME,31,6
JON,RAMSAY,30,6
BENJEN,BRAN,29,6
CERSEI,OLENNA,29,6
CERSEI,QYBURN,29,6
LYANNA,NED,29,6
SANSA,THEON,29,6
DAVOS,EDDISON_TOLLETT,28,6
BRIENNE,PODRICK,27,6
BERIC,HOUND,26,6
HOUND,THOROS,25,6
RAMSAY,ROOSE_BOLTON,25,6
JON,LYANNA_MORMONT,24,6
SANSA,TORMUND,24,6
BALON,YARA,23,6
OSHA,RAMSAY,23,6
ALLISER_THORNE,DAVOS,22,6
HIGH_SPARROW,LORAS,22,6
BRONN,PODRICK,21,6
CAMELLO,LADY_CRANE,21,6
DAENERYS,JORAH,21,6
EDDISON_TOLLETT,TORMUND,21,6
GREY_WORM,VARYS,21,6
LITTLE_SAM,SAM,21,6
MARGAERY,SEPTA_UNELLA,21,6
MELESSA,SAM,21,6
BRAN,NED,20,6
JAQEN,WAIF,20,6
RAMSAY,WALDA,20,6
BRAN,LEAF,19,6
JAIME,WALDER,19,6
JON,ROBETT,19,6
ARYA,WALDER,18,6
CERSEI,KEVAN,18,6
DAENERYS,YARA,18,6
GILLY,LITTLE_SAM,18,6
BALON,EURON,17,6
DAVOS,LYANNA_MORMONT,17,6
EURON,YARA,17,6
BIANCA,LADY_CRANE,16,6
BOBONO,LADY_CRANE,16,6
CERSEI,PYCELLE,16,6
EURON,THEON,16,6
IZEMBARO,LADY_CRANE,16,6
LITTLEFINGER,YOHN_ROYCE,16,6
MISSANDEI,VARYS,16,6
TYRION,YEZZAN,16,6
BLACK_WALDER,LOTHAR,15,6
BLACK_WALDER,WALDER,15,6
CERSEI,HIGH_SPARROW,15,6
CERSEI,LANCEL,15,6
DAENERYS,LHAZAREEN_WOMAN,15,6
DAENERYS,THEON,15,6
GILLY,MELESSA,15,6
HODOR,THREE_EYED_RAVEN,15,6
KINVARA,TYRION,15,6
LITTLEFINGER,ROBIN,15,6
BLACK_WALDER,JAIME,14,6
CERSEI,MARGAERY,14,6
RANDYLL,SAM,14,6
VALA,VARYS,14,6
ALLISER_THORNE,JON,13,6
BIANCA,IZEMBARO,13,6
JAIME,LOTHAR,13,6
JON,WUN_WUN,13,6
LEAF,MEERA,13,6
MAESTER_CITADEL,SAM,13,6
PODRICK,SANSA,13,6
PYCELLE,QYBURN,13,6
RAMSAY,RICKON,13,6
THEON,TYRION,13,6
ARTHUR,NED,12,6
BENJEN,MEERA,12,6
BRAN,NIGHT_KING,12,6
CERSEI,SEPTA_UNELLA,12,6
JAIME,KEVAN,12,6
LYANNA_MORMONT,SANSA,12,6
MAESTER_WOLKAN,RAMSAY,12,6
MELESSA,TALLA,12,6
MELISANDRE,TORMUND,12,6
NED,SANSA,12,6
TORMUND,WUN_WUN,12,6
ALLISER_THORNE,EDDISON_TOLLETT,11,6
BRIENNE,DAVOS,11,6
BRYNDEN,EDMURE,11,6
CLARENZO,LADY_CRANE,11,6
DAENERYS,MISSANDEI,11,6
DICKON,SAM,11,6
EDDISON_TOLLETT,MELISANDRE,11,6
EDDISON_TOLLETT,SANSA,11,6
JOFFREY,LADY_CRANE,11,6
LEM,RAY,11,6
MACE,OLENNA,11,6
MEERA,THREE_EYED_RAVEN,11,6
MELESSA,RANDYLL,11,6
NED,THREE_EYED_RAVEN,11,6
RAMSAY,SON_OFWALDA,11,6
ARYA,BIANCA,10,6
BENJEN,NED,10,6
BIANCA,BOBONO,10,6
BOBONO,CLARENZO,10,6
BRIENNE,JON,10,6
BRIENNE,MELISANDRE,10,6
GREY_WORM,YEZZAN,10,6
HIGH_SPARROW,SEPTA_UNELLA,10,6
JAIME,OLENNA,10,6
JON,NED,10,6
MELISANDRE,SANSA,10,6
PYCELLE,TOMMEN,10,6
RAZDAL,TYRION,10,6
SON_OFWALDA,WALDA,10,6
AERON,YARA,9,6
ALLISER_THORNE,TORMUND,9,6
ARYA,IZEMBARO,9,6
BLACK_WALDER,EDMURE,9,6
BOBONO,IZEMBARO,9,6
BRIENNE,EDDISON_TOLLETT,9,6
BRIENNE,TORMUND,9,6
CLARENZO,IZEMBARO,9,6
DAVOS,STANNIS,9,6
DAVOS,WUN_WUN,9,6
ELLARIA,OLENNA,9,6
GATINS,HOUND,9,6
HODOR,LEAF,9,6
JON,RICKON,9,6
LOTHAR,WALDER,9,6
MACE,MARGAERY,9,6
NYMERIA,OBARA,9,6
AERON,EURON,8,6
BENJEN,LYANNA,8,6
BERIC,THOROS,8,6
BIANCA,CLARENZO,8,6
DAENERYS,DOSH_KHALEEN_LEADER,8,6
DAENERYS,GREY_WORM,8,6
DAENERYS,VARYS,8,6
DAVOS,RAMSAY,8,6
DORAN,ELLARIA,8,6
DOSH_KHALEEN_LEADER,LHAZAREEN_WOMAN,8,6
GILLY,RANDYLL,8,6
GILLY,TALLA,8,6
HIGH_SPARROW,LANCEL,8,6
JAIME,MACE,8,6
JAIME,MARGAERY,8,6
JON,LITTLEFINGER,8,6
JON,SMALLJON,8,6
KINVARA,VARYS,8,6
LEAF,THREE_EYED_RAVEN,8,6
MYRANDA,RAMSAY,8,6
QYBURN,TOMMEN,8,6
RAMSAY,RICKARD_KARSTARK,8,6
RAMSAY,TORMUND,8,6
SAM,TALLA,8,6
ALLISER_THORNE,OLLY,7,6
BELICHO,TYRION,7,6
BENJEN,THREE_EYED_RAVEN,7,6
BOBONO,CAMELLO,7,6
EDMURE,GUARD_CAPTAIN,7,6
GLOVER,JON,7,6
GREY_WORM,RAZDAL,7,6
JAIME,QYBURN,7,6
